service,surface,method,route_pattern,dynamic_prefix,auth_or_permission,handler,source_file,source_line
go-api,小程序 API,POST,/api/app/membership/radar/actions,否,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.membershipRadarAction)),services/go-api/internal/appapi/server.go,507
go-api,小程序 API,GET,/api/app/messages/center,否,小程序登录态,s.AppAuthMiddleware(s.myNotifications),services/go-api/internal/appapi/server.go,543
go-api,小程序 API,GET,/api/app/messages/my-config,否,小程序登录态,s.AppAuthMiddleware(s.messageMyConfig),services/go-api/internal/appapi/server.go,544
go-api,小程序 API,GET,/api/app/messages/system-notification,否,小程序登录态,s.AppAuthMiddleware(s.systemNotificationDetail),services/go-api/internal/appapi/server.go,549
go-api,小程序 API,POST,/api/app/messages/system-notification/feedback,否,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.submitSystemNotificationFeedback)),services/go-api/internal/appapi/server.go,550
go-api,小程序 API,GET,/api/app/messages/trade-warning,否,小程序登录态,s.AppAuthMiddleware(s.tradeWarningDetail),services/go-api/internal/appapi/server.go,547
go-api,小程序 API,POST,/api/app/messages/trade-warning/actions,否,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.handleTradeWarningAction)),services/go-api/internal/appapi/server.go,548
go-api,小程序 API,GET,/api/app/newbie-tasks,否,小程序登录态,s.AppAuthMiddleware(s.newbieTasks),services/go-api/internal/appapi/server.go,396
go-api,小程序 API,POST,/api/app/newbie-tasks/,是,小程序登录态,s.AppAuthMiddleware(s.completeTask),services/go-api/internal/appapi/server.go,398
go-api,小程序 API,POST,/api/app/newbie-tasks/guide-profile-reminder,否,小程序登录态,s.AppAuthMiddleware(s.recordProfileGuideReminder),services/go-api/internal/appapi/server.go,397
go-api,小程序 API,GET,/api/app/notifications,否,小程序登录态,s.AppAuthMiddleware(s.myNotifications),services/go-api/internal/appapi/server.go,542
go-api,小程序 API,POST,/api/app/notifications/,是,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.routeNotificationPost)),services/go-api/internal/appapi/server.go,551
go-api,小程序 API,GET,/api/app/orders/,是,小程序登录态,s.AppAuthMiddleware(s.appOrderDetail),services/go-api/internal/appapi/server.go,509
go-api,小程序 API,POST,/api/app/payment/precreate-placeholder,否,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.paymentPrecreatePlaceholder)),services/go-api/internal/appapi/server.go,510
go-api,小程序 API,GET,/api/app/points/logs,否,小程序登录态,s.AppAuthMiddleware(s.pointsLogs),services/go-api/internal/appapi/server.go,513
go-api,小程序 API,GET,/api/app/points/summary,否,小程序登录态,s.AppAuthMiddleware(s.pointsSummary),services/go-api/internal/appapi/server.go,512
go-api,小程序 API,GET,/api/app/private-chat/messages,否,小程序登录态,s.AppAuthMiddleware(s.privateChatMessages),services/go-api/internal/appapi/server.go,545
go-api,小程序 API,POST,/api/app/private-chat/messages,否,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.sendPrivateChatMessage)),services/go-api/internal/appapi/server.go,546
go-api,小程序 API,GET,/api/app/profile/agreements,否,小程序登录态,s.AppAuthMiddleware(s.listProfileAgreements),services/go-api/internal/appapi/server.go,484
go-api,小程序 API,GET,/api/app/profile/agreements/,是,小程序登录态,s.AppAuthMiddleware(s.routeProfileAgreementGet),services/go-api/internal/appapi/server.go,485
go-api,小程序 API,POST,/api/app/profile/agreements/,是,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.routeProfileAgreementPost)),services/go-api/internal/appapi/server.go,486
go-api,小程序 API,GET,/api/app/profile/assets,否,小程序登录态,s.AppAuthMiddleware(s.profileAssets),services/go-api/internal/appapi/server.go,402
go-api,小程序 API,POST,/api/app/profile/credit-appeals,否,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.createCreditAppeal)),services/go-api/internal/appapi/server.go,555
go-api,小程序 API,GET,/api/app/profile/credit-center,否,小程序登录态,s.AppAuthMiddleware(s.profileCreditCenter),services/go-api/internal/appapi/server.go,403
go-api,小程序 API,GET,/api/app/profile/home,否,小程序登录态,s.AppAuthMiddleware(s.profileHome),services/go-api/internal/appapi/server.go,401
go-api,小程序 API,GET,/api/app/profile/points/orders/,是,小程序登录态,s.AppAuthMiddleware(s.redemptionOrderLogistics),services/go-api/internal/appapi/server.go,519
go-api,小程序 API,GET,/api/app/profile/service-center/invite/codes,否,小程序登录态,s.AppAuthMiddleware(s.profileInviteCodes),services/go-api/internal/appapi/server.go,491
go-api,小程序 API,GET,/api/app/profile/service-center/invite/income,否,小程序登录态,s.AppAuthMiddleware(s.profileInviteIncome),services/go-api/internal/appapi/server.go,496
go-api,小程序 API,GET,/api/app/profile/service-center/invite/member-detail,否,小程序登录态,s.AppAuthMiddleware(s.profileInviteMemberDetail),services/go-api/internal/appapi/server.go,497
go-api,小程序 API,GET,/api/app/profile/service-center/invite/network,否,小程序登录态,s.AppAuthMiddleware(s.profileInviteNetwork),services/go-api/internal/appapi/server.go,493
go-api,小程序 API,GET,/api/app/profile/service-center/invite/overview,否,小程序登录态,s.AppAuthMiddleware(s.profileInviteOverview),services/go-api/internal/appapi/server.go,490
go-api,小程序 API,POST,/api/app/profile/service-center/invite/quota-requests,否,小程序登录态,s.AppAuthMiddleware(s.profileInviteQuotaRequest),services/go-api/internal/appapi/server.go,492
go-api,小程序 API,GET,/api/app/profile/service-center/invite/ranking,否,小程序登录态,s.AppAuthMiddleware(s.profileInviteRanking),services/go-api/internal/appapi/server.go,495
go-api,小程序 API,GET,/api/app/profile/service-center/invite/records,否,小程序登录态,s.AppAuthMiddleware(s.profileInviteRecords),services/go-api/internal/appapi/server.go,494
go-api,小程序 API,GET,/api/app/profile/service-center/reviews,否,小程序登录态,s.AppAuthMiddleware(s.profileReviewList),services/go-api/internal/appapi/server.go,487
go-api,小程序 API,GET,/api/app/profile/service-center/reviews/,是,小程序登录态,s.AppAuthMiddleware(s.profileReviewDetail),services/go-api/internal/appapi/server.go,488
go-api,小程序 API,POST,/api/app/profile/service-center/reviews/,是,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.routeProfileReviewPost)),services/go-api/internal/appapi/server.go,489
go-api,小程序 API,GET,/api/app/profile/settings,否,小程序登录态,s.AppAuthMiddleware(s.getProfileSettings),services/go-api/internal/appapi/server.go,482
go-api,小程序 API,PUT,/api/app/profile/settings,否,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.saveProfileSettings)),services/go-api/internal/appapi/server.go,483
go-api,小程序 API,GET,/api/app/profile/system-management/block-settings,否,小程序登录态,s.AppAuthMiddleware(s.getSystemBlockSettings),services/go-api/internal/appapi/server.go,480
go-api,小程序 API,PUT,/api/app/profile/system-management/block-settings,否,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.saveSystemBlockSettings)),services/go-api/internal/appapi/server.go,481
go-api,小程序 API,GET,/api/app/profile/system-management/feedback,否,小程序登录态,s.AppAuthMiddleware(s.getSystemFeedbackHome),services/go-api/internal/appapi/server.go,475
go-api,小程序 API,POST,/api/app/profile/system-management/feedback,否,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.submitSystemFeedback)),services/go-api/internal/appapi/server.go,476
go-api,小程序 API,GET,/api/app/profile/system-management/feedback-records,否,小程序登录态,s.AppAuthMiddleware(s.getSystemFeedbackRecords),services/go-api/internal/appapi/server.go,477
go-api,小程序 API,GET,/api/app/profile/system-management/feedback-records/,是,小程序登录态,s.AppAuthMiddleware(s.getSystemFeedbackDetail),services/go-api/internal/appapi/server.go,478
go-api,小程序 API,POST,/api/app/profile/system-management/feedback-records/,是,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.appendSystemFeedbackMessage)),services/go-api/internal/appapi/server.go,479
go-api,小程序 API,GET,/api/app/profile/system-management/profile-info,否,小程序登录态,s.AppAuthMiddleware(s.getSystemProfileInfo),services/go-api/internal/appapi/server.go,468
go-api,小程序 API,PUT,/api/app/profile/system-management/profile-info,否,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.saveSystemProfileInfo)),services/go-api/internal/appapi/server.go,469
go-api,小程序 API,GET,/api/app/profile/system-management/service-cases/,是,小程序登录态,s.AppAuthMiddleware(s.getSystemServiceCaseDetail),services/go-api/internal/appapi/server.go,473
go-api,小程序 API,GET,/api/app/profile/system-management/skill-config,否,小程序登录态,s.AppAuthMiddleware(s.getSystemSkillConfig),services/go-api/internal/appapi/server.go,472
